"","drug","model.id","response_type","value"
"156","CFI-400945","M5.1.F13","mRECIST","PR"
"157","CFI-400945","M5.1.F13","best.average.response","-53.0163"
"158","CFI-400945","M5.1.F13","slope","-70.4683"
"159","CFI-400945","M5.1.F13","AUC","82.4281"
"160","CFI-400945","M5.1.F13","survival","224.0000"
"161","WATER","M5.1.F15","mRECIST","PD"
"162","WATER","M5.1.F15","best.average.response","42.7006"
"163","WATER","M5.1.F15","slope","87.2463"
"164","WATER","M5.1.F15","AUC","473.7605"
"165","WATER","M5.1.F15","survival","35.0000"
"166","ERIBULIN","M15.1.F15","mRECIST","CR"
"167","ERIBULIN","M15.1.F15","best.average.response","-58.7404"
"168","ERIBULIN","M15.1.F15","slope","-74.1224"
"169","ERIBULIN","M15.1.F15","AUC","51.4059"
"170","ERIBULIN","M15.1.F15","survival","244.0000"
"171","CX5461 VEHICLE","M5.1.F16","mRECIST","SD"
"172","CX5461 VEHICLE","M5.1.F16","best.average.response","17.6636"
"173","CX5461 VEHICLE","M5.1.F16","slope","80.6052"
"174","CX5461 VEHICLE","M5.1.F16","AUC","222.4717"
"175","CX5461 VEHICLE","M5.1.F16","survival","40.0000"
"176","CX5461","M15.1.F16","mRECIST","SD"
"177","CX5461","M15.1.F16","best.average.response","21.5837"
"178","CX5461","M15.1.F16","slope","77.8026"
"179","CX5461","M15.1.F16","AUC","180.7146"
"180","CX5461","M15.1.F16","survival","29.0000"
"181","TAXOL + CFI-402257","M5.1.F17","mRECIST","CR"
"182","TAXOL + CFI-402257","M5.1.F17","best.average.response","-43.4247"
"183","TAXOL + CFI-402257","M5.1.F17","slope","-61.1742"
"184","TAXOL + CFI-402257","M5.1.F17","AUC","63.1737"
"185","TAXOL + CFI-402257","M5.1.F17","survival","132.0000"
"186","CARBOPLATIN","M15.1.F17","mRECIST","SD"
"187","CARBOPLATIN","M15.1.F17","best.average.response","0.6663"
"188","CARBOPLATIN","M15.1.F17","slope","69.1153"
"189","CARBOPLATIN","M15.1.F17","AUC","142.8440"
"190","CARBOPLATIN","M15.1.F17","survival","33.0000"
"191","WATER","M5.1.F18","mRECIST","PD"
"192","WATER","M5.1.F18","best.average.response","38.3588"
"193","WATER","M5.1.F18","slope","85.2419"
"194","WATER","M5.1.F18","AUC","278.4524"
"195","WATER","M5.1.F18","survival","27.0000"
"196","CARBOPLATIN","M15.1.F18","mRECIST","SD"
"197","CARBOPLATIN","M15.1.F18","best.average.response","-11.1442"
"198","CARBOPLATIN","M15.1.F18","slope","3.5149"
"199","CARBOPLATIN","M15.1.F18","AUC","131.6552"
"200","CARBOPLATIN","M15.1.F18","survival","27.0000"
"201","BMN673","M5.1.F19","mRECIST","PD"
"202","BMN673","M5.1.F19","best.average.response","20.4415"
"203","BMN673","M5.1.F19","slope","82.4581"
"204","BMN673","M5.1.F19","AUC","269.1653"
"205","BMN673","M5.1.F19","survival","33.0000"
"206","TAXOL","M5.1.F20","mRECIST","PD"
"207","TAXOL","M5.1.F20","best.average.response","20.9564"
"208","TAXOL","M5.1.F20","slope","76.6862"
"209","TAXOL","M5.1.F20","AUC","220.0532"
"210","TAXOL","M5.1.F20","survival","84.0000"
"211","TAXOL","M5.1.F21","mRECIST","CR"
"212","TAXOL","M5.1.F21","best.average.response","-44.0828"
"213","TAXOL","M5.1.F21","slope","-67.1188"
"214","TAXOL","M5.1.F21","AUC","45.4514"
"215","TAXOL","M5.1.F21","survival","159.0000"
"216","TAXOL VEHICLE","M5.1.F22","mRECIST","PD"
"217","TAXOL VEHICLE","M5.1.F22","best.average.response","30.0817"
"218","TAXOL VEHICLE","M5.1.F22","slope","86.0667"
"219","TAXOL VEHICLE","M5.1.F22","AUC","494.7619"
"220","TAXOL VEHICLE","M5.1.F22","survival","59.0000"
"221","TAXOL + CFI-402257","M15.1.F22","mRECIST","PR"
"222","TAXOL + CFI-402257","M15.1.F22","best.average.response","-55.0786"
"223","TAXOL + CFI-402257","M15.1.F22","slope","-64.8337"
"224","TAXOL + CFI-402257","M15.1.F22","AUC","36.9345"
"225","TAXOL + CFI-402257","M15.1.F22","survival","126.0000"
"226","WATER","M5.1.F24","mRECIST",NA
"227","WATER","M5.1.F24","best.average.response","NA"
"228","WATER","M5.1.F24","slope","89.0480"
"229","WATER","M5.1.F24","AUC","574.5148"
"230","WATER","M5.1.F24","survival","12.0000"
"231","CFI-400945","M15.1.F24","mRECIST","PD"
"232","CFI-400945","M15.1.F24","best.average.response","62.6764"
"233","CFI-400945","M15.1.F24","slope","87.0240"
"234","CFI-400945","M15.1.F24","AUC","566.3796"
"235","CFI-400945","M15.1.F24","survival","29.0000"
"236","WATER","M5.1.F25","mRECIST","SD"
"237","WATER","M5.1.F25","best.average.response","1.6006"
