"","drug","model.id","response_type","value"
"1139","CARBOPLATIN","M15.2.F188","AUC","1086.4710"
"1140","CARBOPLATIN","M15.2.F188","survival","41.0000"
"1141","CFI-400945","M25.1.F188","mRECIST","SD"
"1142","CFI-400945","M25.1.F188","best.average.response","24.8225"
"1143","CFI-400945","M25.1.F188","slope","-12.6387"
"1144","CFI-400945","M25.1.F188","AUC","234.3804"
"1145","CFI-400945","M25.1.F188","survival","76.0000"
"1146","BMN673","M35.1.F188","mRECIST","PD"
"1147","BMN673","M35.1.F188","best.average.response","36.1581"
"1148","BMN673","M35.1.F188","slope","88.2706"
"1149","BMN673","M35.1.F188","AUC","605.5299"
"1150","BMN673","M35.1.F188","survival","26.0000"
"1151","CX5461","M45.1.F188","mRECIST","PD"
"1152","CX5461","M45.1.F188","best.average.response","179.5573"
"1153","CX5461","M45.1.F188","slope","88.7072"
"1154","CX5461","M45.1.F188","AUC","806.7599"
"1155","CX5461","M45.1.F188","survival","26.0000"
"1156","CX5461","M5.1.F189","mRECIST","PD"
"1157","CX5461","M5.1.F189","best.average.response","16.2750"
"1158","CX5461","M5.1.F189","slope","77.8038"
"1159","CX5461","M5.1.F189","AUC","349.6448"
"1160","CX5461","M5.1.F189","survival","98.0000"
"1161","CFI-400945","M5.1.F191","mRECIST","SD"
"1162","CFI-400945","M5.1.F191","best.average.response","3.2640"
"1163","CFI-400945","M5.1.F191","slope","-26.5117"
"1164","CFI-400945","M5.1.F191","AUC","299.6753"
"1165","CFI-400945","M5.1.F191","survival","195.0000"
"1166","WATER","M5.1.F192","mRECIST","PD"
"1167","WATER","M5.1.F192","best.average.response","63.8982"
"1168","WATER","M5.1.F192","slope","87.4967"
"1169","WATER","M5.1.F192","AUC","499.3503"
"1170","WATER","M5.1.F192","survival","28.0000"
"1171","CFI-400945","M15.1.F192","mRECIST","PD"
"1172","CFI-400945","M15.1.F192","best.average.response","97.1977"
"1173","CFI-400945","M15.1.F192","slope","85.1726"
"1174","CFI-400945","M15.1.F192","AUC","253.3143"
"1175","CFI-400945","M15.1.F192","survival","28.0000"
"1176","BMN673","M25.1.F192","mRECIST","PD"
"1177","BMN673","M25.1.F192","best.average.response","48.9331"
"1178","BMN673","M25.1.F192","slope","81.2804"
"1179","BMN673","M25.1.F192","AUC","320.8126"
"1180","BMN673","M25.1.F192","survival","42.0000"
"1181","CFI-402257","M35.1.F192","mRECIST","PD"
"1182","CFI-402257","M35.1.F192","best.average.response","98.6658"
"1183","CFI-402257","M35.1.F192","slope","87.3902"
"1184","CFI-402257","M35.1.F192","AUC","560.4334"
"1185","CFI-402257","M35.1.F192","survival","28.0000"
"1186","WATER","M5.1.F193","mRECIST","SD"
"1187","WATER","M5.1.F193","best.average.response","-22.9699"
"1188","WATER","M5.1.F193","slope","80.8755"
"1189","WATER","M5.1.F193","AUC","241.1104"
"1190","WATER","M5.1.F193","survival","97.0000"
"1191","CFI-400945","M15.1.F193","mRECIST","PR"
"1192","CFI-400945","M15.1.F193","best.average.response","-52.2090"
"1193","CFI-400945","M15.1.F193","slope","-60.3884"
"1194","CFI-400945","M15.1.F193","AUC","44.9477"
"1195","CFI-400945","M15.1.F193","survival","103.0000"
"1196","CDX-011","M5.1.F195","mRECIST","CR"
"1197","CDX-011","M5.1.F195","best.average.response","-45.5524"
"1198","CDX-011","M5.1.F195","slope","-78.1944"
"1199","CDX-011","M5.1.F195","AUC","131.2975"
"1200","CDX-011","M5.1.F195","survival","134.0000"
"1201","CARBOPLATIN","M5.1.F196","mRECIST","PD"
"1202","CARBOPLATIN","M5.1.F196","best.average.response","162.7183"
"1203","CARBOPLATIN","M5.1.F196","slope","87.9087"
"1204","CARBOPLATIN","M5.1.F196","AUC","614.0154"
"1205","CARBOPLATIN","M5.1.F196","survival","35.0000"
"1206","WATER","M5.1.F197","mRECIST","PD"
"1207","WATER","M5.1.F197","best.average.response","43.6986"
"1208","WATER","M5.1.F197","slope","87.0275"
"1209","WATER","M5.1.F197","AUC","771.3181"
"1210","WATER","M5.1.F197","survival","62.0000"
"1211","CFI-400945","M15.2.F197","mRECIST","SD"
"1212","CFI-400945","M15.2.F197","best.average.response","21.2292"
"1213","CFI-400945","M15.2.F197","slope","75.3739"
"1214","CFI-400945","M15.2.F197","AUC","196.1376"
"1215","CFI-400945","M15.2.F197","survival","62.0000"
"1216","TAXOL","M25.1.F197","mRECIST","CR"
"1217","TAXOL","M25.1.F197","best.average.response","-69.8008"
"1218","TAXOL","M25.1.F197","slope","-76.4146"
"1219","TAXOL","M25.1.F197","AUC","57.2582"
"1220","TAXOL","M25.1.F197","survival","56.0000"
"1221","ERIBULIN","M35.1.F197","mRECIST","CR"
"1222","ERIBULIN","M35.1.F197","best.average.response","-58.4481"
"1223","ERIBULIN","M35.1.F197","slope","-80.0391"
"1224","ERIBULIN","M35.1.F197","AUC","106.3131"
"1225","ERIBULIN","M35.1.F197","survival","56.0000"
"1226","CX5461","M45.1.F197","mRECIST","PD"
"1227","CX5461","M45.1.F197","best.average.response","36.3905"
"1228","CX5461","M45.1.F197","slope","67.0967"
"1229","CX5461","M45.1.F197","AUC","271.2388"
"1230","CX5461","M45.1.F197","survival","56.0000"
"1231","WATER","M5.1.F198","mRECIST",NA
"1232","WATER","M5.1.F198","best.average.response","NA"
"1233","WATER","M5.1.F198","slope","88.9301"
"1234","WATER","M5.1.F198","AUC","1092.9007"
"1235","WATER","M5.1.F198","survival","20.0000"
"1236","TAXOL","M15.2.F198","mRECIST",NA
"1237","TAXOL","M15.2.F198","best.average.response","NA"
"1238","TAXOL","M15.2.F198","slope","86.6472"
"1239","TAXOL","M15.2.F198","AUC","629.5998"
"1240","TAXOL","M15.2.F198","survival","20.0000"
"1241","CFI-400945","M25.1.F198","mRECIST","PD"
"1242","CFI-400945","M25.1.F198","best.average.response","105.2054"
"1243","CFI-400945","M25.1.F198","slope","88.9166"
"1244","CFI-400945","M25.1.F198","AUC","1414.6254"
"1245","CFI-400945","M25.1.F198","survival","47.0000"
"1246","CFI-400945","M26.2.F198","mRECIST","SD"
"1247","CFI-400945","M26.2.F198","best.average.response","-4.1661"
"1248","CFI-400945","M26.2.F198","slope","77.8023"
"1249","CFI-400945","M26.2.F198","AUC","169.9563"
"1250","CFI-400945","M26.2.F198","survival","71.0000"
"1251","WATER","M5.1.F199","mRECIST","PD"
"1252","WATER","M5.1.F199","best.average.response","40.6066"
"1253","WATER","M5.1.F199","slope","87.9404"
"1254","WATER","M5.1.F199","AUC","641.9207"
"1255","WATER","M5.1.F199","survival","43.0000"
"1256","CFI-400945","M5.1.F200","mRECIST","PD"
"1257","CFI-400945","M5.1.F200","best.average.response","135.4780"
"1258","CFI-400945","M5.1.F200","slope","87.4756"
"1259","CFI-400945","M5.1.F200","AUC","415.0921"
"1260","CFI-400945","M5.1.F200","survival","21.0000"
"1261","CFI-402257","M5.1.F201","mRECIST","PD"
"1262","CFI-402257","M5.1.F201","best.average.response","38.6594"
"1263","CFI-402257","M5.1.F201","slope","81.9802"
"1264","CFI-402257","M5.1.F201","AUC","294.4168"
"1265","CFI-402257","M5.1.F201","survival","41.0000"
"1266","CARBOPLATIN","M5.1.F205","mRECIST","PD"
"1267","CARBOPLATIN","M5.1.F205","best.average.response","13.6918"
"1268","CARBOPLATIN","M5.1.F205","slope","82.1139"
"1269","CARBOPLATIN","M5.1.F205","AUC","290.7393"
"1270","CARBOPLATIN","M5.1.F205","survival","39.0000"
"1271","TAXOL","M15.1.F205","mRECIST","PD"
"1272","TAXOL","M15.1.F205","best.average.response","37.4883"
"1273","TAXOL","M15.1.F205","slope","77.3077"
"1274","TAXOL","M15.1.F205","AUC","180.7133"
"1275","TAXOL","M15.1.F205","survival","39.0000"
"1276","CFI-400945","M5.1.F207","mRECIST",NA
"1277","CFI-400945","M5.1.F207","best.average.response","NA"
"1278","CFI-400945","M5.1.F207","slope","-69.8993"
"1279","CFI-400945","M5.1.F207","AUC","110.1475"
"1280","CFI-400945","M5.1.F207","survival","10.0000"
"1281","TAXOL","M5.1.F208","mRECIST","CR"
"1282","TAXOL","M5.1.F208","best.average.response","-63.5191"
"1283","TAXOL","M5.1.F208","slope","-77.6682"
"1284","TAXOL","M5.1.F208","AUC","55.5241"
"1285","TAXOL","M5.1.F208","survival","62.0000"
"1286","CFI-402257","M5.1.F209","mRECIST","SD"
"1287","CFI-402257","M5.1.F209","best.average.response","12.2421"
"1288","CFI-402257","M5.1.F209","slope","25.2209"
"1289","CFI-402257","M5.1.F209","AUC","122.0144"
"1290","CFI-402257","M5.1.F209","survival","129.0000"
"1291","BMN673","M15.1.F209","mRECIST","SD"
"1292","BMN673","M15.1.F209","best.average.response","-6.6497"
"1293","BMN673","M15.1.F209","slope","-12.9713"
"1294","BMN673","M15.1.F209","AUC","166.5432"
"1295","BMN673","M15.1.F209","survival","129.0000"
"1296","WATER","M5.1.F210","mRECIST","PD"
"1297","WATER","M5.1.F210","best.average.response","97.4666"
"1298","WATER","M5.1.F210","slope","88.9412"
"1299","WATER","M5.1.F210","AUC","689.8586"
"1300","WATER","M5.1.F210","survival","21.0000"
"1301","CFI-400945","M15.2.F210","mRECIST","PD"
"1302","CFI-400945","M15.2.F210","best.average.response","111.8181"
"1303","CFI-400945","M15.2.F210","slope","88.9428"
"1304","CFI-400945","M15.2.F210","AUC","880.2140"
"1305","CFI-400945","M15.2.F210","survival","27.0000"
"1306","BMN673","M25.1.F210","mRECIST","CR"
"1307","BMN673","M25.1.F210","best.average.response","-55.4394"
"1308","BMN673","M25.1.F210","slope","-68.0894"
"1309","BMN673","M25.1.F210","AUC","62.4028"
"1310","BMN673","M25.1.F210","survival","129.0000"
"1311","CFI-400945","M5.1.F212","mRECIST","SD"
"1312","CFI-400945","M5.1.F212","best.average.response","6.2089"
"1313","CFI-400945","M5.1.F212","slope","40.1525"
"1314","CFI-400945","M5.1.F212","AUC","151.6571"
"1315","CFI-400945","M5.1.F212","survival","70.0000"
"1316","WATER","M5.1.F213","mRECIST","PD"
"1317","WATER","M5.1.F213","best.average.response","22.9246"
"1318","WATER","M5.1.F213","slope","82.5376"
"1319","WATER","M5.1.F213","AUC","346.7932"
"1320","WATER","M5.1.F213","survival","74.0000"
"1321","CFI-402257","M15.1.F213","mRECIST","SD"
"1322","CFI-402257","M15.1.F213","best.average.response","-27.8548"
"1323","CFI-402257","M15.1.F213","slope","-22.8935"
"1324","CFI-402257","M15.1.F213","AUC","158.3693"
"1325","CFI-402257","M15.1.F213","survival","74.0000"
"1326","WATER","M5.1.F214","mRECIST","PD"
"1327","WATER","M5.1.F214","best.average.response","18.2152"
"1328","WATER","M5.1.F214","slope","67.5337"
"1329","WATER","M5.1.F214","AUC","132.3666"
"1330","WATER","M5.1.F214","survival","98.0000"
"1331","CFI-400945","M15.1.F214","mRECIST","PD"
"1332","CFI-400945","M15.1.F214","best.average.response","15.5124"
"1333","CFI-400945","M15.1.F214","slope","71.1193"
"1334","CFI-400945","M15.1.F214","AUC","155.3733"
"1335","CFI-400945","M15.1.F214","survival","63.0000"
"1336","WATER","M5.1.F215","mRECIST",NA
"1337","WATER","M5.1.F215","best.average.response","NA"
"1338","WATER","M5.1.F215","slope","84.2865"
"1339","WATER","M5.1.F215","AUC","450.4593"
"1340","WATER","M5.1.F215","survival","10.0000"
"1341","BMN673","M15.1.F215","mRECIST","SD"
"1342","BMN673","M15.1.F215","best.average.response","9.6451"
"1343","BMN673","M15.1.F215","slope","-24.1350"
"1344","BMN673","M15.1.F215","AUC","386.5790"
"1345","BMN673","M15.1.F215","survival","45.0000"
"1346","CFI-402257","M25.1.F215","mRECIST","SD"
"1347","CFI-402257","M25.1.F215","best.average.response","11.6676"
"1348","CFI-402257","M25.1.F215","slope","85.9507"
"1349","CFI-402257","M25.1.F215","AUC","514.5936"
"1350","CFI-402257","M25.1.F215","survival","32.0000"
"1351","CFI-400945","M35.1.F215","mRECIST","PD"
"1352","CFI-400945","M35.1.F215","best.average.response","31.9655"
"1353","CFI-400945","M35.1.F215","slope","83.7669"
"1354","CFI-400945","M35.1.F215","AUC","417.6080"
"1355","CFI-400945","M35.1.F215","survival","32.0000"
"1356","TAXOL + CFI-402257","M45.1.F215","mRECIST","SD"
"1357","TAXOL + CFI-402257","M45.1.F215","best.average.response","0.0996"
"1358","TAXOL + CFI-402257","M45.1.F215","slope","74.9757"
"1359","TAXOL + CFI-402257","M45.1.F215","AUC","223.7738"
"1360","TAXOL + CFI-402257","M45.1.F215","survival","32.0000"
"1361","CX5461","M15.1.F216","mRECIST","PD"
"1362","CX5461","M15.1.F216","best.average.response","32.1762"
"1363","CX5461","M15.1.F216","slope","40.5455"
"1364","CX5461","M15.1.F216","AUC","99.2902"
"1365","CX5461","M15.1.F216","survival","82.0000"
"1366","WATER","M5.1.F218","mRECIST","SD"
"1367","WATER","M5.1.F218","best.average.response","6.0319"
"1368","WATER","M5.1.F218","slope","88.0079"
"1369","WATER","M5.1.F218","AUC","988.8142"
"1370","WATER","M5.1.F218","survival","56.0000"
"1371","ERIBULIN","M15.1.F218","mRECIST","PD"
"1372","ERIBULIN","M15.1.F218","best.average.response","60.7495"
"1373","ERIBULIN","M15.1.F218","slope","85.7853"
"1374","ERIBULIN","M15.1.F218","AUC","524.6229"
"1375","ERIBULIN","M15.1.F218","survival","62.0000"
"1376","CX5461","M5.1.F219","mRECIST","PD"
"1377","CX5461","M5.1.F219","best.average.response","35.9916"
"1378","CX5461","M5.1.F219","slope","82.3286"
"1379","CX5461","M5.1.F219","AUC","483.6864"
"1380","CX5461","M5.1.F219","survival","48.0000"
"1381","CFI-400945","M5.1.F220","mRECIST","SD"
"1382","CFI-400945","M5.1.F220","best.average.response","-14.0998"
"1383","CFI-400945","M5.1.F220","slope","41.3939"
"1384","CFI-400945","M5.1.F220","AUC","176.7719"
"1385","CFI-400945","M5.1.F220","survival","83.0000"
"1386","BMN673","M5.1.F221","mRECIST","SD"
"1387","BMN673","M5.1.F221","best.average.response","18.9646"
"1388","BMN673","M5.1.F221","slope","69.2178"
"1389","BMN673","M5.1.F221","AUC","196.8490"
"1390","BMN673","M5.1.F221","survival","38.0000"
"1391","TAXOL","M5.1.F223","mRECIST","SD"
"1392","TAXOL","M5.1.F223","best.average.response","4.9343"
"1393","TAXOL","M5.1.F223","slope","27.0271"
"1394","TAXOL","M5.1.F223","AUC","172.4699"
"1395","TAXOL","M5.1.F223","survival","75.0000"
"1396","ERIBULIN","M15.1.F223","mRECIST","CR"
"1397","ERIBULIN","M15.1.F223","best.average.response","-61.6732"
"1398","ERIBULIN","M15.1.F223","slope","-74.9417"
"1399","ERIBULIN","M15.1.F223","AUC","53.7230"
"1400","ERIBULIN","M15.1.F223","survival","75.0000"
"1401","CFI-402257","M5.1.F224","mRECIST","SD"
"1402","CFI-402257","M5.1.F224","best.average.response","0.3661"
"1403","CFI-402257","M5.1.F224","slope","60.1661"
"1404","CFI-402257","M5.1.F224","AUC","212.7458"
"1405","CFI-402257","M5.1.F224","survival","33.0000"
"1406","WATER","M5.1.F228","mRECIST","SD"
"1407","WATER","M5.1.F228","best.average.response","16.4925"
"1408","WATER","M5.1.F228","slope","82.1392"
"1409","WATER","M5.1.F228","AUC","378.6323"
"1410","WATER","M5.1.F228","survival","55.0000"
"1411","CFI-400945","M15.1.F228","mRECIST","PR"
"1412","CFI-400945","M15.1.F228","best.average.response","-38.0652"
"1413","CFI-400945","M15.1.F228","slope","-67.1481"
"1414","CFI-400945","M15.1.F228","AUC","106.2402"
"1415","CFI-400945","M15.1.F228","survival","104.0000"
"1416","WATER","M5.1.F230","mRECIST","PD"
"1417","WATER","M5.1.F230","best.average.response","626.8534"
"1418","WATER","M5.1.F230","slope","87.8337"
"1419","WATER","M5.1.F230","AUC","546.7200"
"1420","WATER","M5.1.F230","survival","49.0000"
"1421","CARBOPLATIN","M15.1.F230","mRECIST",NA
"1422","CARBOPLATIN","M15.1.F230","best.average.response","NA"
"1423","CARBOPLATIN","M15.1.F230","slope","87.6007"
"1424","CARBOPLATIN","M15.1.F230","AUC","333.6510"
"1425","CARBOPLATIN","M15.1.F230","survival","14.0000"
"1426","WATER","M5.1.F234","mRECIST","PD"
"1427","WATER","M5.1.F234","best.average.response","46.9323"
"1428","WATER","M5.1.F234","slope","88.2304"
"1429","WATER","M5.1.F234","AUC","889.4315"
"1430","WATER","M5.1.F234","survival","42.0000"
"1431","CFI-400945","M15.1.F234","mRECIST","PD"
"1432","CFI-400945","M15.1.F234","best.average.response","29.3431"
"1433","CFI-400945","M15.1.F234","slope","80.7971"
"1434","CFI-400945","M15.1.F234","AUC","337.2261"
"1435","CFI-400945","M15.1.F234","survival","34.0000"
"1436","BMN673","M25.1.F234","mRECIST","SD"
"1437","BMN673","M25.1.F234","best.average.response","-9.8919"
"1438","BMN673","M25.1.F234","slope","-63.8346"
"1439","BMN673","M25.1.F234","AUC","95.8610"
"1440","BMN673","M25.1.F234","survival","42.0000"
"1441","CARBOPLATIN","M5.1.F235","mRECIST","SD"
"1442","CARBOPLATIN","M5.1.F235","best.average.response","6.0024"
"1443","CARBOPLATIN","M5.1.F235","slope","73.3453"
"1444","CARBOPLATIN","M5.1.F235","AUC","212.7750"
"1445","CARBOPLATIN","M5.1.F235","survival","41.0000"
"1446","CFI-400945","M5.1.F240","mRECIST","PD"
"1447","CFI-400945","M5.1.F240","best.average.response","60.8203"
"1448","CFI-400945","M5.1.F240","slope","82.3506"
"1449","CFI-400945","M5.1.F240","AUC","501.3855"
"1450","CFI-400945","M5.1.F240","survival","70.0000"
"1451","TAXOL","M15.1.F241","mRECIST","CR"
"1452","TAXOL","M15.1.F241","best.average.response","-67.8161"
"1453","TAXOL","M15.1.F241","slope","-85.7304"
"1454","TAXOL","M15.1.F241","AUC","189.5039"
"1455","TAXOL","M15.1.F241","survival","422.0000"
"1456","WATER","M5.1.F242","mRECIST",NA
"1457","WATER","M5.1.F242","best.average.response","NA"
"1458","WATER","M5.1.F242","slope","89.0746"
"1459","WATER","M5.1.F242","AUC","775.4813"
"1460","WATER","M5.1.F242","survival","14.0000"
"1461","CFI-400945","M15.1.F242","mRECIST","PD"
"1462","CFI-400945","M15.1.F242","best.average.response","18.5417"
"1463","CFI-400945","M15.1.F242","slope","86.1364"
"1464","CFI-400945","M15.1.F242","AUC","402.3262"
"1465","CFI-400945","M15.1.F242","survival","20.0000"
"1466","CFI-400945","M25.1.F242","mRECIST","SD"
"1467","CFI-400945","M25.1.F242","best.average.response","-7.3536"
"1468","CFI-400945","M25.1.F242","slope","84.3710"
"1469","CFI-400945","M25.1.F242","AUC","437.5656"
"1470","CFI-400945","M25.1.F242","survival","20.0000"
"1471","TAXOL","M35.1.F242","mRECIST","PD"
"1472","TAXOL","M35.1.F242","best.average.response","29.2934"
"1473","TAXOL","M35.1.F242","slope","88.9515"
"1474","TAXOL","M35.1.F242","AUC","654.7299"
"1475","TAXOL","M35.1.F242","survival","20.0000"
"1476","WATER","M5.1.F244","mRECIST","PD"
"1477","WATER","M5.1.F244","best.average.response","33.8659"
"1478","WATER","M5.1.F244","slope","88.3785"
"1479","WATER","M5.1.F244","AUC","917.1714"
"1480","WATER","M5.1.F244","survival","27.0000"
"1481","CX5461","M15.1.F244","mRECIST","PD"
"1482","CX5461","M15.1.F244","best.average.response","20.1807"
"1483","CX5461","M15.1.F244","slope","86.3400"
"1484","CX5461","M15.1.F244","AUC","754.3439"
"1485","CX5461","M15.1.F244","survival","33.0000"
"1486","CFI-400945","M25.1.F244","mRECIST","PD"
"1487","CFI-400945","M25.1.F244","best.average.response","94.2129"
"1488","CFI-400945","M25.1.F244","slope","87.3305"
"1489","CFI-400945","M25.1.F244","AUC","721.7262"
"1490","CFI-400945","M25.1.F244","survival","40.0000"
"1491","TAXOL","M35.1.F244","mRECIST","PD"
"1492","TAXOL","M35.1.F244","best.average.response","54.2396"
"1493","TAXOL","M35.1.F244","slope","86.6925"
"1494","TAXOL","M35.1.F244","AUC","485.7789"
"1495","TAXOL","M35.1.F244","survival","27.0000"
"1496","WATER","M5.1.F248","mRECIST","SD"
"1497","WATER","M5.1.F248","best.average.response","13.2456"
"1498","WATER","M5.1.F248","slope","84.3083"
"1499","WATER","M5.1.F248","AUC","558.7584"
"1500","WATER","M5.1.F248","survival","76.0000"
"1501","CFI-400945","M15.1.F248","mRECIST","SD"
"1502","CFI-400945","M15.1.F248","best.average.response","-16.7095"
"1503","CFI-400945","M15.1.F248","slope","-36.1357"
"1504","CFI-400945","M15.1.F248","AUC","153.7920"
"1505","CFI-400945","M15.1.F248","survival","76.0000"
"1506","BMN673","M25.1.F248","mRECIST","SD"
"1507","BMN673","M25.1.F248","best.average.response","2.5727"
"1508","BMN673","M25.1.F248","slope","76.4465"
"1509","BMN673","M25.1.F248","AUC","351.3652"
"1510","BMN673","M25.1.F248","survival","70.0000"
"1511","TAXOL + CFI-402257","M35.1.F248","mRECIST","SD"
"1512","TAXOL + CFI-402257","M35.1.F248","best.average.response","-17.0936"
"1513","TAXOL + CFI-402257","M35.1.F248","slope","-67.1614"
"1514","TAXOL + CFI-402257","M35.1.F248","AUC","261.0451"
"1515","TAXOL + CFI-402257","M35.1.F248","survival","70.0000"
"1516","CFI-402257","M45.1.F248","mRECIST","SD"
"1517","CFI-402257","M45.1.F248","best.average.response","1.0994"
"1518","CFI-402257","M45.1.F248","slope","82.9287"
"1519","CFI-402257","M45.1.F248","AUC","406.9098"
"1520","CFI-402257","M45.1.F248","survival","70.0000"
"1521","WATER","M5.2.F253","mRECIST","SD"
"1522","WATER","M5.2.F253","best.average.response","-0.3138"
"1523","WATER","M5.2.F253","slope","77.1941"
"1524","WATER","M5.2.F253","AUC","254.8269"
"1525","WATER","M5.2.F253","survival","117.0000"
"1526","CARBOPLATIN","M15.3.F253","mRECIST","SD"
"1527","CARBOPLATIN","M15.3.F253","best.average.response","7.7758"
"1528","CARBOPLATIN","M15.3.F253","slope","73.0242"
"1529","CARBOPLATIN","M15.3.F253","AUC","198.4783"
"1530","CARBOPLATIN","M15.3.F253","survival","117.0000"
"1531","CFI-402257","M5.1.F256","mRECIST","PD"
"1532","CFI-402257","M5.1.F256","best.average.response","26.8409"
"1533","CFI-402257","M5.1.F256","slope","74.1332"
"1534","CFI-402257","M5.1.F256","AUC","171.4361"
"1535","CFI-402257","M5.1.F256","survival","42.0000"
"1536","TAXOL + CFI-402257","M15.1.F256","mRECIST","SD"
"1537","TAXOL + CFI-402257","M15.1.F256","best.average.response","-10.9621"
"1538","TAXOL + CFI-402257","M15.1.F256","slope","-60.4807"
"1539","TAXOL + CFI-402257","M15.1.F256","AUC","181.7377"
"1540","TAXOL + CFI-402257","M15.1.F256","survival","150.0000"
"1541","WATER","M5.1.F257","mRECIST","PD"
"1542","WATER","M5.1.F257","best.average.response","63.5455"
"1543","WATER","M5.1.F257","slope","89.2561"
"1544","WATER","M5.1.F257","AUC","1520.2758"
"1545","WATER","M5.1.F257","survival","27.0000"
"1546","BMN673","M15.2.F257","mRECIST","PD"
"1547","BMN673","M15.2.F257","best.average.response","67.1501"
"1548","BMN673","M15.2.F257","slope","87.8394"
"1549","BMN673","M15.2.F257","AUC","557.9446"
"1550","BMN673","M15.2.F257","survival","27.0000"
"1551","WATER","M5.1.F258","mRECIST","PD"
"1552","WATER","M5.1.F258","best.average.response","30.9087"
"1553","WATER","M5.1.F258","slope","87.7856"
"1554","WATER","M5.1.F258","AUC","569.7405"
"1555","WATER","M5.1.F258","survival","48.0000"
"1556","ERIBULIN","M15.1.F258","mRECIST","CR"
"1557","ERIBULIN","M15.1.F258","best.average.response","-83.6076"
"1558","ERIBULIN","M15.1.F258","slope","-71.3141"
"1559","ERIBULIN","M15.1.F258","AUC","10.6012"
"1560","ERIBULIN","M15.1.F258","survival","48.0000"
"1561","WATER","M5.1.F261","mRECIST","SD"
"1562","WATER","M5.1.F261","best.average.response","0.9730"
"1563","WATER","M5.1.F261","slope","75.5355"
"1564","WATER","M5.1.F261","AUC","212.9167"
"1565","WATER","M5.1.F261","survival","118.0000"
"1566","CFI-400945","M15.1.F261","mRECIST","SD"
"1567","CFI-400945","M15.1.F261","best.average.response","-16.4955"
"1568","CFI-400945","M15.1.F261","slope","34.4994"
"1569","CFI-400945","M15.1.F261","AUC","136.5021"
"1570","CFI-400945","M15.1.F261","survival","97.0000"
"1571","CDX-011","M25.1.F261","mRECIST","CR"
"1572","CDX-011","M25.1.F261","best.average.response","-72.8849"
"1573","CDX-011","M25.1.F261","slope","-76.6547"
"1574","CDX-011","M25.1.F261","AUC","41.1025"
"1575","CDX-011","M25.1.F261","survival","64.0000"
"1576","CFI-402257","M35.1.F261","mRECIST","SD"
"1577","CFI-402257","M35.1.F261","best.average.response","-6.0802"
"1578","CFI-402257","M35.1.F261","slope","62.5657"
"1579","CFI-402257","M35.1.F261","AUC","153.5597"
"1580","CFI-402257","M35.1.F261","survival","56.0000"
"1581","WATER","M5.1.F262","mRECIST","PD"
"1582","WATER","M5.1.F262","best.average.response","53.2643"
"1583","WATER","M5.1.F262","slope","86.0089"
"1584","WATER","M5.1.F262","AUC","526.7673"
"1585","WATER","M5.1.F262","survival","63.0000"
"1586","CARBOPLATIN","M5.1.F264","mRECIST",NA
"1587","CARBOPLATIN","M5.1.F264","best.average.response","NA"
"1588","CARBOPLATIN","M5.1.F264","slope","85.5094"
"1589","CARBOPLATIN","M5.1.F264","AUC","305.4093"
"1590","CARBOPLATIN","M5.1.F264","survival","11.0000"
"1591","CX5461 VEHICLE","M5.1.F268","mRECIST","PD"
"1592","CX5461 VEHICLE","M5.1.F268","best.average.response","93.4365"
"1593","CX5461 VEHICLE","M5.1.F268","slope","88.8808"
"1594","CX5461 VEHICLE","M5.1.F268","AUC","1260.6426"
"1595","CX5461 VEHICLE","M5.1.F268","survival","41.0000"
"1596","CX5461","M15.1.F268","mRECIST","SD"
"1597","CX5461","M15.1.F268","best.average.response","5.9170"
"1598","CX5461","M15.1.F268","slope","39.7272"
"1599","CX5461","M15.1.F268","AUC","154.9195"
"1600","CX5461","M15.1.F268","survival","202.0000"
"1601","CFI-400945","M25.1.F268","mRECIST","PD"
"1602","CFI-400945","M25.1.F268","best.average.response","93.9094"
"1603","CFI-400945","M25.1.F268","slope","85.9738"
"1604","CFI-400945","M25.1.F268","AUC","439.8115"
"1605","CFI-400945","M25.1.F268","survival","41.0000"
"1606","CX5461 VEHICLE","M5.1.F270","mRECIST","SD"
"1607","CX5461 VEHICLE","M5.1.F270","best.average.response","3.7755"
"1608","CX5461 VEHICLE","M5.1.F270","slope","69.2054"
"1609","CX5461 VEHICLE","M5.1.F270","AUC","173.4395"
"1610","CX5461 VEHICLE","M5.1.F270","survival","104.0000"
"1611","CX5461","M15.1.F270","mRECIST","PR"
"1612","CX5461","M15.1.F270","best.average.response","-47.5927"
"1613","CX5461","M15.1.F270","slope","-61.0682"
"1614","CX5461","M15.1.F270","AUC","52.3031"
"1615","CX5461","M15.1.F270","survival","278.0000"
"1616","TAXOL","M25.1.F270","mRECIST","CR"
"1617","TAXOL","M25.1.F270","best.average.response","-49.0606"
"1618","TAXOL","M25.1.F270","slope","-66.9069"
"1619","TAXOL","M25.1.F270","AUC","57.0495"
"1620","TAXOL","M25.1.F270","survival","443.0000"
"1621","WATER","M5.1.F272","mRECIST","SD"
"1622","WATER","M5.1.F272","best.average.response","-9.2608"
"1623","WATER","M5.1.F272","slope","80.1448"
"1624","WATER","M5.1.F272","AUC","226.2387"
"1625","WATER","M5.1.F272","survival","106.0000"
"1626","CFI-400945","M15.1.F272","mRECIST","CR"
"1627","CFI-400945","M15.1.F272","best.average.response","-53.1378"
"1628","CFI-400945","M15.1.F272","slope","-71.5948"
"1629","CFI-400945","M15.1.F272","AUC","86.4936"
