"","X-0933","X-0988","X-0992","X-1027","X-1055","X-1119","X-1167","X-1173","X-1210","X-1234","X-1256","X-1270","X-1290","X-1303","X-1310","X-1329","X-1333","X-1402","X-1441","X-1443","X-1479","X-1500","X-1536","X-1538","X-1855","X-2145","X-2182","X-2239","X-2374","X-2403","X-2483","X-2484","X-2514","X-2538","X-2573","X-2659","X-2761","X-2822","X-2846","X-2861","X-3093","X-3205","X-3224","X-3267","X-3671","X-3684","X-3792","X-4087","X-4145","X-5238","X-5254","X-5405","X-5421","X-5438","X-5446","X-5494","X-5495","X-5536","X-5578"
"cetuximab","X.0933.ceab","","","X.1027.ceab","X.1055.ceab","X.1119.ceab","X.1167.ceab","X.1173.ceab","","","","X.1270.ceab","X.1290.ceab","X.1303.ceab","","X.1329.ceab","","","X.1441.ceab","X.1443.ceab","X.1479.ceab","X.1500.ceab","X.1536.ceab","X.1538.ceab","X.1855.ceab","X.2145.ceab","X.2182.ceab","X.2239.ceab","X.2374.ceab","X.2403.ceab","X.2483.ceab","X.2484.ceab","","X.2538.ceab","X.2573.ceab","X.2659.ceab","","X.2822.ceab","X.2846.ceab","X.2861.ceab","X.3093.ceab","X.3205.ceab","X.3224.ceab","X.3267.ceab","X.3671.ceab","","X.3792.ceab","X.4087.ceab","","","X.5254.ceab","X.5405.ceab","","X.5438.ceab","X.5446.ceab","","X.5495.ceab","","X.5578.ceab"
"cetuximab + encorafenib","X.0933.ceab.enib","","","X.1027.ceab.enib","X.1055.ceab.enib","X.1119.ceab.enib","X.1167.ceab.enib","X.1173.ceab.enib","","","","X.1270.ceab.enib","X.1290.ceab.enib","X.1303.ceab.enib","","X.1329.ceab.enib","","","X.1441.ceab.enib","X.1443.ceab.enib","X.1479.ceab.enib","X.1500.ceab.enib","X.1536.ceab.enib","","X.1855.ceab.enib","X.2145.ceab.enib","X.2182.ceab.enib","X.2239.ceab.enib","X.2374.ceab.enib","X.2403.ceab.enib","X.2483.ceab.enib","X.2484.ceab.enib","","X.2538.ceab.enib","X.2573.ceab.enib","X.2659.ceab.enib","","X.2822.ceab.enib","X.2846.ceab.enib","X.2861.ceab.enib","X.3093.ceab.enib","X.3205.ceab.enib","X.3224.ceab.enib","X.3267.ceab.enib","","","X.3792.ceab.enib","X.4087.ceab.enib","","","X.5254.ceab.enib","X.5405.ceab.enib","","X.5438.ceab.enib","X.5446.ceab.enib","X.5494.ceab.enib","X.5495.ceab.enib","","X.5578.ceab.enib"
"CGM097","X.0933.CG97","","","X.1027.CG97","X.1055.CG97","X.1119.CG97","X.1167.CG97","X.1173.CG97","","","","X.1270.CG97","X.1290.CG97","X.1303.CG97","","X.1329.CG97","","","X.1441.CG97","X.1443.CG97","X.1479.CG97","X.1500.CG97","","","X.1855.CG97","X.2145.CG97","X.2182.CG97","","","X.2403.CG97","X.2483.CG97","X.2484.CG97","","X.2538.CG97","X.2573.CG97","X.2659.CG97","","X.2822.CG97","X.2846.CG97","X.2861.CG97","X.3093.CG97","X.3205.CG97","X.3224.CG97","X.3267.CG97","","","X.3792.CG97","X.4087.CG97","","","X.5254.CG97","X.5405.CG97","","X.5438.CG97","X.5446.CG97","X.5494.CG97","X.5495.CG97","","X.5578.CG97"
"CKX620","X.0933.CK20","","","X.1027.CK20","X.1055.CK20","X.1119.CK20","X.1167.CK20","X.1173.CK20","","","","X.1270.CK20","X.1290.CK20","X.1303.CK20","","X.1329.CK20","","","X.1441.CK20","X.1443.CK20","X.1479.CK20","X.1500.CK20","X.1536.CK20","","X.1855.CK20","X.2145.CK20","X.2182.CK20","","X.2374.CK20","X.2403.CK20","X.2483.CK20","X.2484.CK20","","X.2538.CK20","X.2573.CK20","X.2659.CK20","","X.2822.CK20","X.2846.CK20","X.2861.CK20","X.3093.CK20","X.3205.CK20","X.3224.CK20","X.3267.CK20","","","X.3792.CK20","X.4087.CK20","","","X.5254.CK20","X.5405.CK20","","X.5438.CK20","X.5446.CK20","X.5494.CK20","X.5495.CK20","","X.5578.CK20"
"CLR457","X.0933.CL57","","","X.1027.CL57","X.1055.CL57","X.1119.CL57","X.1167.CL57","X.1173.CL57","","","","X.1270.CL57","X.1290.CL57","X.1303.CL57","","X.1329.CL57","","","X.1441.CL57","X.1443.CL57","X.1479.CL57","X.1500.CL57","X.1536.CL57","X.1538.CL57","","X.2145.CL57","X.2182.CL57","X.2239.CL57","X.2374.CL57","X.2403.CL57","X.2483.CL57","X.2484.CL57","","X.2538.CL57","X.2573.CL57","X.2659.CL57","","X.2822.CL57","X.2846.CL57","X.2861.CL57","X.3093.CL57","X.3205.CL57","X.3224.CL57","X.3267.CL57","","","X.3792.CL57","X.4087.CL57","X.4145.CL57","","X.5254.CL57","X.5405.CL57","","X.5438.CL57","X.5446.CL57","X.5494.CL57","X.5495.CL57","","X.5578.CL57"
"encorafenib","X.0933.enib","","","X.1027.enib","X.1055.enib","X.1119.enib","X.1167.enib","X.1173.enib","","","","X.1270.enib","X.1290.enib","X.1303.enib","","X.1329.enib","","","X.1441.enib","X.1443.enib","X.1479.enib","X.1500.enib","X.1536.enib","X.1538.enib","X.1855.enib","X.2145.enib","X.2182.enib","X.2239.enib","X.2374.enib","X.2403.enib","X.2483.enib","X.2484.enib","","X.2538.enib","X.2573.enib","X.2659.enib","","X.2822.enib","X.2846.enib","X.2861.enib","X.3093.enib","X.3205.enib","X.3224.enib","X.3267.enib","","","X.3792.enib","X.4087.enib","","","X.5254.enib","X.5405.enib","","X.5438.enib","X.5446.enib","X.5494.enib","X.5495.enib","","X.5578.enib"
"HDM201","X.0933.HD01","","","X.1027.HD01","X.1055.HD01","X.1119.HD01","X.1167.HD01","X.1173.HD01","","","","X.1270.HD01","X.1290.HD01","X.1303.HD01","","X.1329.HD01","","","X.1441.HD01","X.1443.HD01","X.1479.HD01","X.1500.HD01","X.1536.HD01","","X.1855.HD01","X.2145.HD01","X.2182.HD01","","X.2374.HD01","X.2403.HD01","X.2483.HD01","X.2484.HD01","","X.2538.HD01","X.2573.HD01","X.2659.HD01","","X.2822.HD01","X.2846.HD01","X.2861.HD01","X.3093.HD01","X.3205.HD01","X.3224.HD01","X.3267.HD01","","","X.3792.HD01","X.4087.HD01","X.4145.HD01","","X.5254.HD01","X.5405.HD01","","X.5438.HD01","X.5446.HD01","X.5494.HD01","X.5495.HD01","","X.5578.HD01"
"LEE011","X.0933.LE11","","","X.1027.LE11","X.1055.LE11","X.1119.LE11","X.1167.LE11","X.1173.LE11","","","","X.1270.LE11","X.1290.LE11","X.1303.LE11","","X.1329.LE11","","","X.1441.LE11","X.1443.LE11","X.1479.LE11","X.1500.LE11","X.1536.LE11","X.1538.LE11","X.1855.LE11","X.2145.LE11","X.2182.LE11","X.2239.LE11","X.2374.LE11","X.2403.LE11","X.2483.LE11","X.2484.LE11","","X.2538.LE11","X.2573.LE11","X.2659.LE11","","X.2822.LE11","X.2846.LE11","X.2861.LE11","X.3093.LE11","X.3205.LE11","X.3224.LE11","X.3267.LE11","","","X.3792.LE11","X.4087.LE11","X.4145.LE11","","X.5254.LE11","X.5405.LE11","","X.5438.LE11","X.5446.LE11","X.5494.LE11","X.5495.LE11","","X.5578.LE11"
"LFW527 + binimetinib","X.0933.LF27.biib","X.0988.LF27.biib","X.0992.LF27.biib","","X.1055.LF27.biib","X.1119.LF27.biib","X.1167.LF27.biib","","X.1210.LF27.biib","X.1234.LF27.biib","X.1256.LF27.biib","","X.1290.LF27.biib","X.1303.LF27.biib","X.1310.LF27.biib","X.1329.LF27.biib","X.1333.LF27.biib","X.1402.LF27.biib","","X.1443.LF27.biib","","X.1500.LF27.biib","","","X.1855.LF27.biib","X.2145.LF27.biib","X.2182.LF27.biib","X.2239.LF27.biib","X.2374.LF27.biib","","X.2483.LF27.biib","","X.2514.LF27.biib","","X.2573.LF27.biib","X.2659.LF27.biib","X.2761.LF27.biib","","","X.2861.LF27.biib","","X.3205.LF27.biib","","","","X.3684.LF27.biib","X.3792.LF27.biib","X.4087.LF27.biib","","X.5238.LF27.biib","X.5254.LF27.biib","","X.5421.LF27.biib","X.5438.LF27.biib","X.5446.LF27.biib","","X.5495.LF27.biib","X.5536.LF27.biib",""
"LJC049","X.0933.LJ49","","","X.1027.LJ49","X.1055.LJ49","X.1119.LJ49","X.1167.LJ49","X.1173.LJ49","","","","X.1270.LJ49","X.1290.LJ49","X.1303.LJ49","","X.1329.LJ49","","","X.1441.LJ49","X.1443.LJ49","X.1479.LJ49","X.1500.LJ49","X.1536.LJ49","","X.1855.LJ49","X.2145.LJ49","X.2182.LJ49","X.2239.LJ49","X.2374.LJ49","X.2403.LJ49","X.2483.LJ49","X.2484.LJ49","","X.2538.LJ49","X.2573.LJ49","X.2659.LJ49","","X.2822.LJ49","X.2846.LJ49","X.2861.LJ49","X.3093.LJ49","X.3205.LJ49","X.3224.LJ49","X.3267.LJ49","","","X.3792.LJ49","X.4087.LJ49","","","X.5254.LJ49","X.5405.LJ49","","X.5438.LJ49","X.5446.LJ49","X.5494.LJ49","X.5495.LJ49","","X.5578.LJ49"
"LKA136","X.0933.LK36","","","X.1027.LK36","X.1055.LK36","X.1119.LK36","X.1167.LK36","X.1173.LK36","","","","X.1270.LK36","X.1290.LK36","X.1303.LK36","","X.1329.LK36","","","X.1441.LK36","X.1443.LK36","X.1479.LK36","X.1500.LK36","X.1536.LK36","","X.1855.LK36","X.2145.LK36","X.2182.LK36","","X.2374.LK36","X.2403.LK36","X.2483.LK36","X.2484.LK36","","X.2538.LK36","X.2573.LK36","X.2659.LK36","","X.2822.LK36","X.2846.LK36","X.2861.LK36","X.3093.LK36","X.3205.LK36","X.3224.LK36","X.3267.LK36","","","X.3792.LK36","X.4087.LK36","X.4145.LK36","","X.5254.LK36","X.5405.LK36","","X.5438.LK36","X.5446.LK36","X.5494.LK36","X.5495.LK36","","X.5578.LK36"
"untreated","X.0933.uned","","","X.1027.uned","X.1055.uned","X.1119.uned","X.1167.uned","X.1173.uned","","","","X.1270.uned","X.1290.uned","X.1303.uned","","X.1329.uned","","","X.1441.uned","X.1443.uned","X.1479.uned","X.1500.uned","X.1536.uned","X.1538.uned","X.1855.uned","X.2145.uned","X.2182.uned","X.2239.uned","X.2374.uned","X.2403.uned","X.2483.uned","X.2484.uned","","X.2538.uned","X.2573.uned","X.2659.uned","","X.2822.uned","X.2846.uned","X.2861.uned","X.3093.uned","X.3205.uned","X.3224.uned","X.3267.uned","X.3671.uned","","X.3792.uned","X.4087.uned","X.4145.uned","","X.5254.uned","X.5405.uned","","X.5438.uned","X.5446.uned","X.5494.uned","X.5495.uned","","X.5578.uned"
"abraxane","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X.4145.abne","","","","","","","","","",""
"binimetinib-3.5mpk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X.4145.bipk","","","","","","","","","",""
"BKM120 + binimetinib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X.4145.BK20.biib","","","","","","","","","",""
"BKM120 + LDE225","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X.4145.BK20.LD25","","","","","","","","","",""
"figitumumab","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X.4145.fiab","","","","","","","","","",""
"figitumumab + binimetinib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X.4145.fiab.biib","","","","","","","","","",""
"gemcitabine-50mpk","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X.4145.gepk","","","","","","","","","",""
"INC424","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X.4145.IN24","","","","","","","","","",""
"INC424 + binimetinib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X.4145.IN24.biib","","","","","","","","","",""
"trametinib","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X.4145.trib","","","","","","","","","",""
"WNT974","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","X.4145.WN74","","","","","","","","","",""
