"","model.id","biobase.id","mDataType"
"X5E174","M5.1.F218",NA,"RNASeq"
"X15E100","M15.1.F218",NA,"RNASeq"
"X5E175","M5.1.F219","73263","RNASeq"
"X5E176","M5.1.F220","73263","RNASeq"
"X5E177","M5.1.F221","48602","RNASeq"
"X5E178","M5.1.F223","47904","RNASeq"
"X15E102","M15.1.F223","47904","RNASeq"
"X5E179","M5.1.F224","44205_S1","RNASeq"
"X5E182","M5.1.F228","47904","RNASeq"
"X15E104","M15.1.F228","47904","RNASeq"
"X5E183","M5.1.F230",NA,"RNASeq"
"X15E105","M15.1.F230",NA,"RNASeq"
"X5E186","M5.1.F234","73263","RNASeq"
"X15E107","M15.1.F234","73263","RNASeq"
"X25E45","M25.1.F234","73263","RNASeq"
"X5E187","M5.1.F235",NA,"RNASeq"
"X5E191","M5.1.F240","82577","RNASeq"
"X15E109","M15.1.F241","73230","RNASeq"
"X5E192","M5.1.F242","71335","RNASeq"
"X15E110","M15.1.F242","71335","RNASeq"
"X25E46","M25.1.F242","71335","RNASeq"
"X35E25","M35.1.F242","71335","RNASeq"
"X5E193","M5.1.F244",NA,"RNASeq"
"X15E111","M15.1.F244",NA,"RNASeq"
"X25E47","M25.1.F244",NA,"RNASeq"
"X35E26","M35.1.F244",NA,"RNASeq"
"X5E197","M5.1.F248","44205_S1","RNASeq"
"X15E113","M15.1.F248","44205_S1","RNASeq"
"X25E48","M25.1.F248","44205_S1","RNASeq"
"X35E27","M35.1.F248","44205_S1","RNASeq"
"X45E13","M45.1.F248","44205_S1","RNASeq"
"X5E201","M5.2.F253","REF022","RNASeq"
"X15E116","M15.3.F253","REF022","RNASeq"
"X5E203","M5.1.F256","REF002","RNASeq"
"X15E117","M15.1.F256","REF002","RNASeq"
"X5E204","M5.1.F257","INS-B-014","RNASeq"
"X15E118","M15.2.F257","INS-B-014","RNASeq"
"X5E205","M5.1.F258","82577","RNASeq"
"X15E119","M15.1.F258","82577","RNASeq"
"X5E208","M5.1.F261","241417","RNASeq"
"X15E121","M15.1.F261","241417","RNASeq"
"X25E51","M25.1.F261","241417","RNASeq"
"X35E28","M35.1.F261","241417","RNASeq"
"X5E209","M5.1.F262","82577","RNASeq"
"X5E211","M5.1.F264","47904","RNASeq"
"X5E214","M5.1.F268",NA,"RNASeq"
"X15E124","M15.1.F268",NA,"RNASeq"
"X25E52","M25.1.F268",NA,"RNASeq"
"X5E216","M5.1.F270","REF009","RNASeq"
"X15E126","M15.1.F270","REF009","RNASeq"
"X25E53","M25.1.F270","REF009","RNASeq"
"X5E217","M5.1.F272","47904","RNASeq"
"X15E127","M15.1.F272","47904","RNASeq"
"X5E219","M5.1.F276","REF010","RNASeq"
"X5E220","M5.1.F277",NA,"RNASeq"
"X5E222","M5.1.F280","73263","RNASeq"
"X15E130","M15.1.F280","73263","RNASeq"
"X5E223","M5.1.F281","REF022","RNASeq"
"X15E131","M15.1.F281","REF022","RNASeq"
"X25E55","M25.1.F281","REF022","RNASeq"
"X5E225","M5.1.F283","REF016","RNASeq"
"X25E57","M25.1.F283","REF016","RNASeq"
"X35E30","M35.1.F283","REF016","RNASeq"
"X45E14","M45.1.F283","REF016","RNASeq"
"X5E228","M5.1.F287","REF005","RNASeq"
"X5E230","M5.1.F289","NOTCHB02_P6","RNASeq"
"X15E135","M15.1.F289","NOTCHB02_P6","RNASeq"
"X25E59","M25.1.F289","NOTCHB02_P6","RNASeq"
"X5E231","M5.1.F290","NOTCH06_PM","RNASeq"
"X5E232","M5.1.F291","241417","RNASeq"
"X15E136","M15.1.F291","241417","RNASeq"
"X25E60","M25.1.F291","241417","RNASeq"
"X26E4","M26.2.F291","241417","RNASeq"
"X5E233","M5.1.F292","82577","RNASeq"
"X15E137","M15.1.F292","82577","RNASeq"
"X25E61","M25.1.F292","82577","RNASeq"
"X35E32","M35.1.F292","82577","RNASeq"
"X5E235","M5.1.F294","73263","RNASeq"
"X5E237","M5.1.F297","REF010","RNASeq"
"X15E140","M15.1.F297","REF010","RNASeq"
"X5E239","M5.1.F299",NA,"RNASeq"
"X15E141","M15.1.F299",NA,"RNASeq"
"X25E62","M25.1.F299",NA,"RNASeq"
"X35E33","M35.1.F299",NA,"RNASeq"
"X5E241","M5.1.F301","REF016","RNASeq"
"X5E242","M5.1.F302","REF006","RNASeq"
"X15E142","M15.2.F302","REF006","RNASeq"
"X5E243","M5.1.F304","48602","RNASeq"
"X5E244","M5.1.F305","REF002","RNASeq"
"X15E143","M15.1.F305","REF002","RNASeq"
