"","batch.id","response_type","value"
"126","NOTCH1.CARBOPLATIN","TGI","12.8926"
"127","NOTCH1.FLUVASTATIN + DIPYRIDAMOLE","angle","NA"
"128","NOTCH1.FLUVASTATIN + DIPYRIDAMOLE","abc","NA"
"129","NOTCH1.FLUVASTATIN + DIPYRIDAMOLE","TGI","NA"
"130","NOTCH1.EVEROLIMUS","angle","-2.9761"
"131","NOTCH1.EVEROLIMUS","abc","-36.8097"
"132","NOTCH1.EVEROLIMUS","TGI","3.4873"
"133","NOTCH1.TAXOL + CFI-402257","angle","150.3883"
"134","NOTCH1.TAXOL + CFI-402257","abc","263.8955"
"135","NOTCH1.TAXOL + CFI-402257","TGI","-134.2983"
"136","INSB019C2T.CFI-402257","angle","84.4440"
"137","INSB019C2T.CFI-402257","abc","187.3886"
"138","INSB019C2T.CFI-402257","TGI","-52.5416"
"139","INSB019C2T.CFI-400945","angle","112.1193"
"140","INSB019C2T.CFI-400945","abc","228.4865"
"141","INSB019C2T.CFI-400945","TGI","34.1221"
"142","INSB019C2T.BMN673","angle","94.4866"
"143","INSB019C2T.BMN673","abc","155.4239"
"144","INSB019C2T.BMN673","TGI","-14.8015"
"145","INSB019C2T.CDX-011","angle","24.1825"
"146","INSB019C2T.CDX-011","abc","123.7406"
"147","INSB019C2T.CDX-011","TGI","62.9721"
"148","INSB019C2T.TAXOL","angle","6.3037"
"149","INSB019C2T.TAXOL","abc","111.3472"
"150","INSB019C2T.TAXOL","TGI","23.9666"
"151","INSB019C2T.CX5461","angle","46.1034"
"152","INSB019C2T.CX5461","abc","176.6824"
"153","INSB019C2T.CX5461","TGI","-53.7747"
"154","NOTCH10.TAXOL","angle","153.7822"
"155","NOTCH10.TAXOL","abc","255.9454"
"156","NOTCH10.TAXOL","TGI","-18.5099"
"157","NOTCH10.TAXOL + CFI-402257","angle","146.5238"
"158","NOTCH10.TAXOL + CFI-402257","abc","266.0895"
"159","NOTCH10.TAXOL + CFI-402257","TGI","-138.5405"
"160","NOTCH10.CFI-400945","angle","52.1008"
"161","NOTCH10.CFI-400945","abc","194.0248"
