id,batch_id,response_type,value
378,126,TGI,-6.4859
379,127,angle,3.8291
380,127,abc,261.9801
381,127,TGI,-36.1429
382,128,angle,147.7467
383,128,abc,454.2226
384,128,TGI,66.4000
385,129,angle,3.0067
386,129,abc,242.4871
387,129,TGI,-321.8333
388,130,angle,135.0975
389,130,abc,205.2371
390,130,TGI,-215.0877
391,131,angle,144.4058
392,131,abc,204.1566
393,131,TGI,-15.5527
394,132,angle,153.6488
395,132,abc,64.0139
396,132,TGI,-1.9302
397,133,angle,35.7335
398,133,abc,139.2788
399,133,TGI,-19.2096
400,134,angle,116.8247
401,134,abc,176.9248
402,134,TGI,-62.3333
403,135,angle,8.3032
404,135,abc,64.3548
405,135,TGI,-6.1183
406,136,angle,91.2662
407,136,abc,128.2526
408,136,TGI,-10.1546
409,137,angle,25.9597
410,137,abc,120.8682
411,137,TGI,-25.3927
412,138,angle,3.3574
413,138,abc,35.5197
414,138,TGI,-2.4381
415,139,angle,22.1390
416,139,abc,11.2936
417,139,TGI,-4.0697
418,140,angle,0.2114
419,140,abc,-61.5072
420,140,TGI,0.6337
421,141,angle,-0.5312
422,141,abc,-122.8296
423,141,TGI,1.1233
424,142,angle,9.6869
425,142,abc,80.6448
426,142,TGI,-11.4346
427,143,angle,65.8588
428,143,abc,162.2582
429,143,TGI,-106.7634
430,144,angle,98.3022
431,144,abc,94.1400
432,144,TGI,-12.1144
433,145,angle,14.4762
434,145,abc,118.4282
435,145,TGI,-10.1890
436,146,angle,16.4953
437,146,abc,134.1248
438,146,TGI,-25.9605
439,147,angle,-3.2600
440,147,abc,-238.8952
441,147,TGI,3.3117
442,148,angle,NA
443,148,abc,NA
444,148,TGI,NA
445,149,angle,NA
446,149,abc,NA
447,149,TGI,NA
448,150,angle,NA
449,150,abc,NA
450,150,TGI,NA
451,151,angle,NA
452,151,abc,NA
453,151,TGI,NA
454,152,angle,NA
455,152,abc,NA
456,152,TGI,NA
457,153,angle,NA
458,153,abc,NA
459,153,TGI,NA
460,154,angle,NA
461,154,abc,NA
462,154,TGI,NA
463,155,angle,NA
464,155,abc,NA
465,155,TGI,NA
466,156,angle,NA
467,156,abc,NA
468,156,TGI,NA
469,157,angle,NA
470,157,abc,NA
471,157,TGI,NA
472,158,angle,NA
473,158,abc,NA
474,158,TGI,NA
475,159,angle,NA
476,159,abc,NA
477,159,TGI,NA
478,160,angle,NA
479,160,abc,NA
480,160,TGI,NA
481,161,angle,NA
482,161,abc,NA
483,161,TGI,NA
484,162,angle,NA
