id,model_id,sequencing_uid,mDataType
364,1279,22,RNASeq
365,1280,22,RNASeq
366,1281,22,RNASeq
367,1282,22,RNASeq
368,1283,22,RNASeq
369,1284,22,RNASeq
370,1285,22,RNASeq
371,1286,22,RNASeq
372,1296,23,RNASeq
373,1297,23,RNASeq
374,1298,23,RNASeq
375,1299,23,RNASeq
376,1300,23,RNASeq
377,1301,23,RNASeq
378,1302,23,RNASeq
379,1303,23,RNASeq
380,1304,23,RNASeq
381,1305,23,RNASeq
382,1306,23,RNASeq
383,1307,23,RNASeq
384,1308,23,RNASeq
385,1309,23,RNASeq
386,1310,23,RNASeq
387,1311,23,RNASeq
388,1312,23,RNASeq
389,1313,23,RNASeq
390,1314,23,RNASeq
391,1315,23,RNASeq
392,1316,23,RNASeq
393,1326,24,RNASeq
394,1327,24,RNASeq
395,1328,24,RNASeq
396,1329,24,RNASeq
397,1330,24,RNASeq
398,1331,24,RNASeq
399,1332,24,RNASeq
400,1333,24,RNASeq
401,1334,24,RNASeq
402,1335,24,RNASeq
403,1336,24,RNASeq
404,1337,24,RNASeq
405,1338,24,RNASeq
406,1339,24,RNASeq
407,1340,24,RNASeq
408,1341,24,RNASeq
409,1342,24,RNASeq
410,1343,24,RNASeq
411,1344,24,RNASeq
412,1345,24,RNASeq
413,1346,24,RNASeq
414,1347,24,RNASeq
415,1368,25,RNASeq
416,1369,25,RNASeq
417,1370,25,RNASeq
418,1371,25,RNASeq
419,1372,25,RNASeq
420,1373,25,RNASeq
421,1374,25,RNASeq
422,1375,25,RNASeq
423,1376,25,RNASeq
424,1377,25,RNASeq
425,1378,25,RNASeq
426,1379,25,RNASeq
427,1380,25,RNASeq
428,1381,25,RNASeq
429,1382,25,RNASeq
430,1383,25,RNASeq
431,1384,25,RNASeq
432,1385,25,RNASeq
433,1386,25,RNASeq
434,1387,25,RNASeq
435,1388,25,RNASeq
436,1389,25,RNASeq
437,1407,26,RNASeq
438,1408,26,RNASeq
439,1409,26,RNASeq
440,1410,26,RNASeq
441,1411,26,RNASeq
442,1412,26,RNASeq
443,1413,26,RNASeq
444,1414,26,RNASeq
445,1415,26,RNASeq
446,1416,26,RNASeq
447,1417,26,RNASeq
448,1418,26,RNASeq
449,1419,26,RNASeq
450,1420,26,RNASeq
451,1421,26,RNASeq
452,1422,26,RNASeq
453,1423,26,RNASeq
454,1424,26,RNASeq
455,1425,26,RNASeq
456,1426,26,RNASeq
457,1427,26,RNASeq
458,1428,27,RNASeq
459,1429,27,RNASeq
460,1430,27,RNASeq
461,1431,27,RNASeq
462,1432,27,RNASeq
463,1433,27,RNASeq
464,1434,27,RNASeq
465,1435,27,RNASeq
466,1436,27,RNASeq
467,1437,27,RNASeq
468,1438,27,RNASeq
469,1439,27,RNASeq
470,1440,27,RNASeq
471,1441,27,RNASeq
472,1442,27,RNASeq
473,1443,27,RNASeq
474,1444,27,RNASeq
475,1445,27,RNASeq
476,1446,27,RNASeq
477,1447,27,RNASeq
478,1448,27,RNASeq
479,1449,28,RNASeq
480,1450,28,RNASeq
481,1451,28,RNASeq
482,1452,28,RNASeq
483,1453,28,RNASeq
484,1454,28,RNASeq
485,1455,28,RNASeq
486,1456,28,RNASeq
487,1457,28,RNASeq
488,1458,28,RNASeq
489,1459,28,RNASeq
490,1460,28,RNASeq
491,1461,28,RNASeq
492,1462,28,RNASeq
493,1463,28,RNASeq
494,1464,28,RNASeq
495,1465,28,RNASeq
496,1466,28,RNASeq
497,1467,28,RNASeq
498,1468,28,RNASeq
499,1469,28,RNASeq
500,1470,28,RNASeq
501,1479,29,RNASeq
502,1480,29,RNASeq
503,1481,29,RNASeq
504,1482,29,RNASeq
505,1483,29,RNASeq
506,1484,29,RNASeq
507,1485,29,RNASeq
508,1486,29,RNASeq
509,1487,29,RNASeq
510,1488,29,RNASeq
511,1489,29,RNASeq
512,1490,29,RNASeq
513,1491,29,RNASeq
514,1492,29,RNASeq
515,1493,29,RNASeq
516,1494,29,RNASeq
517,1495,29,RNASeq
518,1496,29,RNASeq
519,1497,29,RNASeq
520,1498,29,RNASeq
521,1499,29,RNASeq
522,1500,29,RNASeq
523,1509,30,RNASeq
524,1510,30,RNASeq
525,1511,30,RNASeq
526,1512,30,RNASeq
527,1513,30,RNASeq
528,1514,30,RNASeq
529,1515,30,RNASeq
530,1516,30,RNASeq
531,1517,30,RNASeq
532,1518,30,RNASeq
533,1519,30,RNASeq
534,1520,30,RNASeq
535,1521,30,RNASeq
536,1522,30,RNASeq
537,1523,30,RNASeq
538,1524,30,RNASeq
539,1525,30,RNASeq
540,1526,30,RNASeq
541,1527,30,RNASeq
542,1528,30,RNASeq
543,1529,30,RNASeq
544,1530,31,RNASeq
545,1531,31,RNASeq
546,1532,31,RNASeq
547,1533,31,RNASeq
548,1534,31,RNASeq
549,1535,31,RNASeq
550,1536,31,RNASeq
551,1537,31,RNASeq
552,1538,31,RNASeq
553,1539,31,RNASeq
554,1540,31,RNASeq
555,1541,31,RNASeq
556,1542,31,RNASeq
557,1543,31,RNASeq
558,1544,31,RNASeq
559,1545,31,RNASeq
560,1546,31,RNASeq
561,1547,31,RNASeq
562,1548,31,RNASeq
563,1549,31,RNASeq
564,1550,31,RNASeq
565,1551,31,RNASeq
566,1552,32,RNASeq
567,1553,32,RNASeq
568,1554,32,RNASeq
569,1555,32,RNASeq
570,1556,32,RNASeq
571,1557,32,RNASeq
572,1558,32,RNASeq
573,1559,32,RNASeq
574,1560,32,RNASeq
575,1561,32,RNASeq
576,1562,32,RNASeq
577,1563,32,RNASeq
578,1564,32,RNASeq
579,1565,32,RNASeq
580,1566,32,RNASeq
581,1567,32,RNASeq
582,1568,32,RNASeq
583,1569,32,RNASeq
584,1570,32,RNASeq
585,1571,32,RNASeq
586,1572,32,RNASeq
587,1573,32,RNASeq
588,1574,33,RNASeq
589,1575,33,RNASeq
590,1576,33,RNASeq
591,1577,33,RNASeq
592,1578,33,RNASeq
593,1579,33,RNASeq
594,1580,33,RNASeq
595,1581,33,RNASeq
596,1582,33,RNASeq
597,1583,33,RNASeq
598,1584,33,RNASeq
599,1585,33,RNASeq
600,1586,33,RNASeq
601,1587,33,RNASeq
602,1588,33,RNASeq
603,1589,33,RNASeq
604,1590,33,RNASeq
605,1591,33,RNASeq
606,1592,33,RNASeq
607,1593,33,RNASeq
608,1594,34,RNASeq
609,1595,34,RNASeq
610,1596,34,RNASeq
611,1597,34,RNASeq
612,1598,34,RNASeq
613,1599,34,RNASeq
614,1600,34,RNASeq
615,1620,35,RNASeq
616,1621,35,RNASeq
617,1622,35,RNASeq
618,1623,35,RNASeq
619,1624,35,RNASeq
620,1625,35,RNASeq
621,1626,35,RNASeq
622,1627,35,RNASeq
623,1628,35,RNASeq
624,1629,35,RNASeq
625,1630,35,RNASeq
626,1631,35,RNASeq
627,1632,35,RNASeq
628,1633,35,RNASeq
629,1634,35,RNASeq
630,1635,35,RNASeq
631,1636,35,RNASeq
632,1637,35,RNASeq
633,1638,35,RNASeq
634,1639,35,RNASeq
635,1640,35,RNASeq
636,1641,35,RNASeq
637,1661,36,RNASeq
638,1662,36,RNASeq
639,1663,36,RNASeq
640,1664,36,RNASeq
641,1665,36,RNASeq
642,1666,36,RNASeq
643,1667,36,RNASeq
644,1668,36,RNASeq
645,1669,36,RNASeq
646,1670,36,RNASeq
647,1671,36,RNASeq
648,1672,36,RNASeq
649,1673,36,RNASeq
650,1674,36,RNASeq
651,1675,36,RNASeq
652,1676,36,RNASeq
653,1677,36,RNASeq
654,1678,36,RNASeq
655,1679,36,RNASeq
656,1680,36,RNASeq
657,1681,36,RNASeq
658,1682,36,RNASeq
659,1729,37,RNASeq
660,1730,37,RNASeq
661,1731,37,RNASeq
662,1732,37,RNASeq
663,1733,37,RNASeq
664,1734,37,RNASeq
665,1735,37,RNASeq
666,1736,37,RNASeq
667,1737,37,RNASeq
668,1738,37,RNASeq
669,1739,37,RNASeq
670,1740,37,RNASeq
671,1741,37,RNASeq
672,1742,37,RNASeq
673,1743,37,RNASeq
674,1744,37,RNASeq
675,1745,37,RNASeq
676,1746,37,RNASeq
677,1747,37,RNASeq
678,1748,37,RNASeq
679,1749,38,RNASeq
680,1750,38,RNASeq
681,1751,38,RNASeq
682,1752,38,RNASeq
683,1753,38,RNASeq
684,1754,38,RNASeq
685,1755,38,RNASeq
686,1756,38,RNASeq
687,1757,38,RNASeq
688,1758,38,RNASeq
689,1759,38,RNASeq
690,1760,38,RNASeq
691,1761,38,RNASeq
692,1762,38,RNASeq
693,1763,38,RNASeq
694,1764,38,RNASeq
695,1765,38,RNASeq
696,1766,39,RNASeq
697,1767,39,RNASeq
698,1768,39,RNASeq
699,1769,39,RNASeq
700,1770,39,RNASeq
701,1771,39,RNASeq
702,1772,39,RNASeq
703,1773,39,RNASeq
704,1774,39,RNASeq
705,1775,39,RNASeq
706,1776,39,RNASeq
707,1777,39,RNASeq
708,1778,39,RNASeq
709,1779,39,RNASeq
710,1780,39,RNASeq
711,1781,39,RNASeq
712,1782,39,RNASeq
713,1783,39,RNASeq
714,1784,39,RNASeq
715,1785,39,RNASeq
716,1786,39,RNASeq
717,1787,39,RNASeq
718,1822,40,RNASeq
719,1823,40,RNASeq
720,1824,40,RNASeq
721,1825,40,RNASeq
722,1826,40,RNASeq
723,1827,40,RNASeq
724,1828,40,RNASeq
725,1829,40,RNASeq
726,1830,40,RNASeq
727,1831,40,RNASeq
728,1832,40,RNASeq
729,1833,40,RNASeq
730,1834,40,RNASeq
731,1835,40,RNASeq
732,1836,40,RNASeq
733,1837,40,RNASeq
734,1838,40,RNASeq
735,1839,40,RNASeq
736,1840,40,RNASeq
737,1841,40,RNASeq
738,1842,40,RNASeq
739,1870,41,RNASeq
740,1871,41,RNASeq
741,1872,41,RNASeq
742,1873,41,RNASeq
743,1874,41,RNASeq
744,1875,41,RNASeq
745,1876,41,RNASeq
746,1877,41,RNASeq
747,1878,41,RNASeq
748,1879,41,RNASeq
749,1880,41,RNASeq
750,1881,41,RNASeq
751,1882,41,RNASeq
752,1883,41,RNASeq
753,1884,41,RNASeq
754,1885,41,RNASeq
755,1886,41,RNASeq
756,1887,41,RNASeq
757,1888,41,RNASeq
758,1889,41,RNASeq
759,1890,41,RNASeq
760,1891,41,RNASeq
761,1900,42,RNASeq
762,1901,42,RNASeq
763,1902,42,RNASeq
764,1903,42,RNASeq
765,1904,42,RNASeq
766,1905,42,RNASeq
767,1906,42,RNASeq
768,1907,42,RNASeq
769,1908,42,RNASeq
770,1909,42,RNASeq
771,1910,42,RNASeq
772,1911,42,RNASeq
773,1912,42,RNASeq
774,1913,42,RNASeq
775,1914,42,RNASeq
776,1915,42,RNASeq
777,1916,42,RNASeq
778,1917,42,RNASeq
779,1918,42,RNASeq
780,1919,42,RNASeq
781,1920,42,RNASeq
782,1921,42,RNASeq
783,1922,43,RNASeq
784,1923,44,RNASeq
785,1924,44,RNASeq
786,1925,44,RNASeq
787,1926,44,RNASeq
788,1927,44,RNASeq
789,1928,44,RNASeq
790,1929,44,RNASeq
791,1930,44,RNASeq
792,1931,44,RNASeq
793,1932,44,RNASeq
794,1933,44,RNASeq
795,1934,44,RNASeq
796,1935,44,RNASeq
797,1936,44,RNASeq
798,1937,44,RNASeq
799,1938,44,RNASeq
800,1939,44,RNASeq
801,1940,44,RNASeq
802,1941,44,RNASeq
803,1942,44,RNASeq
804,1943,44,RNASeq
805,1944,44,RNASeq
806,1945,45,RNASeq
807,1946,45,RNASeq
808,1947,45,RNASeq
809,1948,45,RNASeq
810,1949,45,RNASeq
811,1950,45,RNASeq
812,1951,45,RNASeq
813,1952,45,RNASeq
814,1953,45,RNASeq
815,1954,45,RNASeq
816,1955,45,RNASeq
817,1956,45,RNASeq
818,1957,45,RNASeq
819,1958,45,RNASeq
820,1959,45,RNASeq
821,1960,45,RNASeq
822,1961,45,RNASeq
823,1962,45,RNASeq
824,1963,45,RNASeq
825,1964,45,RNASeq
826,1965,45,RNASeq
827,1966,46,RNASeq
828,1967,46,RNASeq
829,1968,46,RNASeq
830,1969,46,RNASeq
831,1970,46,RNASeq
832,1971,46,RNASeq
833,1972,46,RNASeq
834,1973,46,RNASeq
835,1974,46,RNASeq
836,1975,46,RNASeq
837,1976,46,RNASeq
838,1977,46,RNASeq
839,1978,46,RNASeq
840,1979,46,RNASeq
841,1980,46,RNASeq
842,1981,46,RNASeq
843,1982,46,RNASeq
844,1983,46,RNASeq
845,1984,46,RNASeq
846,1985,46,RNASeq
847,1986,46,RNASeq
848,1987,46,RNASeq
849,1988,47,RNASeq
850,1989,47,RNASeq
851,1990,47,RNASeq
852,1991,47,RNASeq
853,1992,47,RNASeq
854,1993,47,RNASeq
855,1994,47,RNASeq
856,1995,47,RNASeq
857,1996,47,RNASeq
858,1997,47,RNASeq
859,1998,47,RNASeq
860,1999,47,RNASeq
861,2000,47,RNASeq
862,2001,47,RNASeq
863,2002,47,RNASeq
864,2003,47,RNASeq
865,2004,47,RNASeq
866,2005,47,RNASeq
867,2006,47,RNASeq
868,2007,47,RNASeq
869,2008,47,RNASeq
870,2009,47,RNASeq
871,2010,48,RNASeq
872,2011,48,RNASeq
873,2012,48,RNASeq
874,2013,48,RNASeq
875,2014,48,RNASeq
876,2015,48,RNASeq
877,2016,48,RNASeq
878,2017,48,RNASeq
879,2018,48,RNASeq
880,2019,48,RNASeq
881,2020,48,RNASeq
882,2021,48,RNASeq
883,2022,48,RNASeq
884,2023,48,RNASeq
885,2024,48,RNASeq
886,2025,48,RNASeq
887,2026,48,RNASeq
888,2027,48,RNASeq
889,2028,48,RNASeq
890,2029,48,RNASeq
891,2030,48,RNASeq
892,2031,48,RNASeq
893,2032,49,RNASeq
894,2033,49,RNASeq
895,2034,49,RNASeq
896,2035,49,RNASeq
897,2036,49,RNASeq
898,2037,49,RNASeq
899,2038,49,RNASeq
900,2039,49,RNASeq
901,2040,49,RNASeq
902,2041,49,RNASeq
903,2042,49,RNASeq
904,2043,49,RNASeq
905,2044,49,RNASeq
906,2045,49,RNASeq
907,2046,49,RNASeq
908,2047,49,RNASeq
909,2048,49,RNASeq
910,2049,49,RNASeq
911,2050,49,RNASeq
912,2051,49,RNASeq
913,2052,49,RNASeq
914,2096,50,RNASeq
915,2097,50,RNASeq
916,2098,50,RNASeq
917,2099,50,RNASeq
918,2100,50,RNASeq
919,2101,50,RNASeq
920,2102,50,RNASeq
921,2103,50,RNASeq
922,2104,50,RNASeq
923,2105,50,RNASeq
924,2106,50,RNASeq
925,2107,50,RNASeq
926,2108,50,RNASeq
927,2109,50,RNASeq
928,2110,50,RNASeq
929,2111,50,RNASeq
930,2112,50,RNASeq
931,2113,51,RNASeq
932,2114,51,RNASeq
933,2115,51,RNASeq
934,2116,51,RNASeq
935,2117,51,RNASeq
936,2118,51,RNASeq
937,2119,51,RNASeq
938,2120,51,RNASeq
939,2121,51,RNASeq
940,2122,51,RNASeq
941,2123,51,RNASeq
942,2124,51,RNASeq
943,2125,51,RNASeq
944,2126,51,RNASeq
945,2127,51,RNASeq
946,2128,51,RNASeq
947,2129,51,RNASeq
948,2130,51,RNASeq
949,2131,51,RNASeq
950,2132,51,RNASeq
951,2133,51,RNASeq
952,2134,51,RNASeq
953,2135,52,RNASeq
954,2136,52,RNASeq
955,2137,52,RNASeq
956,2138,52,RNASeq
957,2139,52,RNASeq
958,2140,52,RNASeq
959,2141,52,RNASeq
960,2142,52,RNASeq
961,2143,52,RNASeq
962,2144,52,RNASeq
963,2145,52,RNASeq
964,2146,52,RNASeq
965,2147,52,RNASeq
966,2148,52,RNASeq
967,2149,52,RNASeq
968,2150,52,RNASeq
969,2151,52,RNASeq
970,2152,52,RNASeq
971,2153,52,RNASeq
972,2154,52,RNASeq
973,2155,52,RNASeq
974,2156,52,RNASeq
975,2157,53,RNASeq
976,2158,53,RNASeq
977,2159,53,RNASeq
978,2160,53,RNASeq
979,2161,53,RNASeq
980,2162,53,RNASeq
981,2163,53,RNASeq
982,2164,53,RNASeq
983,2165,53,RNASeq
984,2166,53,RNASeq
985,2167,53,RNASeq
986,2168,53,RNASeq
987,2169,53,RNASeq
988,2170,53,RNASeq
989,2171,53,RNASeq
990,2172,53,RNASeq
991,2173,53,RNASeq
992,2174,53,RNASeq
993,2175,53,RNASeq
994,2176,53,RNASeq
995,2177,53,RNASeq
996,2178,53,RNASeq
997,2179,54,RNASeq
998,2180,54,RNASeq
999,2181,54,RNASeq
1000,2182,54,RNASeq
1001,2183,54,RNASeq
1002,2184,54,RNASeq
1003,2185,54,RNASeq
1004,2186,54,RNASeq
1005,2187,54,RNASeq
1006,2188,54,RNASeq
1007,2189,54,RNASeq
1008,2190,54,RNASeq
1009,2191,54,RNASeq
1010,2192,54,RNASeq
1011,2193,54,RNASeq
1012,2194,54,RNASeq
1013,2195,54,RNASeq
1014,2196,54,RNASeq
1015,2197,54,RNASeq
1016,2198,54,RNASeq
1017,2199,55,RNASeq
1018,2200,55,RNASeq
1019,2201,55,RNASeq
1020,2202,55,RNASeq
1021,2203,55,RNASeq
1022,2204,56,RNASeq
1023,2205,57,RNASeq
1024,2206,57,RNASeq
1025,2207,57,RNASeq
1026,2208,57,RNASeq
1027,2209,57,RNASeq
1028,2210,57,RNASeq
1029,2211,57,RNASeq
1030,2212,57,RNASeq
1031,2213,57,RNASeq
1032,2214,57,RNASeq
1033,2215,57,RNASeq
1034,2216,57,RNASeq
1035,2217,57,RNASeq
1036,2218,57,RNASeq
1037,2219,57,RNASeq
1038,2220,57,RNASeq
1039,2221,57,RNASeq
1040,2222,57,RNASeq
1041,2223,57,RNASeq
1042,2224,57,RNASeq
1043,2225,57,RNASeq
1044,2226,57,RNASeq
1045,2227,58,RNASeq
1046,2228,58,RNASeq
1047,2229,58,RNASeq
1048,2230,58,RNASeq
1049,2231,58,RNASeq
1050,2232,58,RNASeq
1051,2233,58,RNASeq
1052,2234,58,RNASeq
1053,2235,58,RNASeq
1054,2236,58,RNASeq
1055,2237,58,RNASeq
1056,2238,58,RNASeq
1057,2239,58,RNASeq
1058,2240,58,RNASeq
1059,2241,58,RNASeq
1060,2242,58,RNASeq
1061,2243,58,RNASeq
1062,2244,58,RNASeq
1063,2245,58,RNASeq
1064,2246,58,RNASeq
1065,2247,58,RNASeq
1066,2248,58,RNASeq
1067,2249,59,RNASeq
1068,2250,59,RNASeq
1069,2251,59,RNASeq
1070,2252,59,RNASeq
1071,2253,59,RNASeq
1072,2254,59,RNASeq
1073,2255,59,RNASeq
1074,2256,59,RNASeq
1075,2257,59,RNASeq
1076,2258,59,RNASeq
1077,2259,59,RNASeq
1078,2260,59,RNASeq
1079,2261,59,RNASeq
1080,2262,59,RNASeq
1081,2263,59,RNASeq
